window_s,fast_recovery_5s_V,initial_slope_0_5_V_per_s,log_time_slope_5_30_V_per_log_s,relaxation_area_Vs,label,delta_q_ah
5,0.016659455350783503,0.003291806020449901,,0.04524051005112861,storage_loss_0.000Ah,0.0
10,0.016659455350783947,0.003291806020449901,,0.1580464369691343,storage_loss_0.000Ah,0.0
30,0.016659455350783947,0.003291806020449901,0.0236892913978565,1.0105566276059648,storage_loss_0.000Ah,0.0
60,0.016659455350783947,0.003291806020449901,0.0236892913978565,2.9741032014992532,storage_loss_0.000Ah,0.0
120,0.016659455350783947,0.003291806020449901,0.0236892913978565,8.073539336656872,storage_loss_0.000Ah,0.0
5,0.0167909834830402,0.0033172514165813916,,0.04561923696773534,storage_loss_0.025Ah,0.025
10,0.016790983483040645,0.0033172514165813916,,0.159280785590177,storage_loss_0.025Ah,0.025
30,0.016790983483040645,0.0033172514165813916,0.02385188816147446,1.017928775367844,storage_loss_0.025Ah,0.025
60,0.016790983483040645,0.0033172514165813916,0.02385188816147446,2.99688185711673,storage_loss_0.025Ah,0.025
120,0.016790983483040645,0.0033172514165813916,0.02385188816147446,8.142323012999162,storage_loss_0.025Ah,0.025
5,0.01689581358633019,0.0033377847811627784,,0.04591017235356432,storage_loss_0.050Ah,0.05
10,0.016895813586330632,0.0033377847811627784,,0.16027104066637282,storage_loss_0.050Ah,0.05
30,0.016895813586330632,0.0033377847811627784,0.024006058753479373,1.0242513126287374,storage_loss_0.050Ah,0.05
60,0.016895813586330632,0.0033377847811627784,0.024006058753479373,3.0174681309586817,storage_loss_0.050Ah,0.05
120,0.016895813586330632,0.0033377847811627784,0.024006058753479373,8.206925622454177,storage_loss_0.050Ah,0.05
5,0.016968947672372003,0.003352449434402732,,0.04609968492252841,storage_loss_0.075Ah,0.075
10,0.016968947672372447,0.003352449434402732,,0.16097750085970725,storage_loss_0.075Ah,0.075
30,0.016968947672372447,0.003352449434402732,0.024149812575200588,1.029385306819169,storage_loss_0.075Ah,0.075
60,0.016968947672372447,0.003352449434402732,0.024149812575200588,3.0351554508847647,storage_loss_0.075Ah,0.075
120,0.016968947672372447,0.003352449434402732,0.024149812575200588,8.266048483528213,storage_loss_0.075Ah,0.075
5,0.017006300129897234,0.003360453433096165,,0.04617624201678168,storage_loss_0.100Ah,0.1
10,0.017006300129897678,0.003360453433096165,,0.1613599834414699,storage_loss_0.100Ah,0.1
30,0.017006300129897678,0.003360453433096165,0.02427916486200073,1.0330837755476017,storage_loss_0.100Ah,0.1
60,0.017006300129897678,0.003360453433096165,0.02427916486200073,3.049666963022673,storage_loss_0.100Ah,0.1
120,0.017006300129897678,0.003360453433096165,0.02427916486200073,8.319603813059743,storage_loss_0.100Ah,0.1
5,0.01700930184561189,0.0033619943312724297,,0.046146233746723046,storage_loss_0.125Ah,0.125
10,0.017009301845612335,0.0033619943312724297,,0.16143000732931712,storage_loss_0.125Ah,0.125
30,0.017009301845612335,0.0033619943312724297,0.02439270264705288,1.0353553853788258,storage_loss_0.125Ah,0.125
60,0.017009301845612335,0.0033619943312724297,0.02439270264705288,3.0608760722688597,storage_loss_0.125Ah,0.125
120,0.017009301845612335,0.0033619943312724297,0.02439270264705288,8.36718165183907,storage_loss_0.125Ah,0.125
5,0.016983592323840835,0.0033582041816156514,,0.0460262579510401,storage_loss_0.150Ah,0.15
10,0.01698359232384128,0.0033582041816156514,,0.16123690704388877,storage_loss_0.150Ah,0.15
30,0.01698359232384128,0.0033582041816156514,0.02449143943733729,1.0364096338101452,storage_loss_0.150Ah,0.15
60,0.01698359232384128,0.0033582041816156514,0.02449143943733729,3.0692370210465914,storage_loss_0.150Ah,0.15
120,0.01698359232384128,0.0033582041816156514,0.02449143943733729,8.409100912186442,storage_loss_0.150Ah,0.15
5,0.016934920083282012,0.0033499406332045687,,0.04583923426772915,storage_loss_0.175Ah,0.175
10,0.016934920083282456,0.0033499406332045687,,0.16083435536500676,storage_loss_0.175Ah,0.175
30,0.016934920083282456,0.0033499406332045687,0.024578299354155442,1.0364285601456507,storage_loss_0.175Ah,0.175
60,0.016934920083282456,0.0033499406332045687,0.024578299354155442,3.0750897570802116,storage_loss_0.175Ah,0.175
120,0.016934920083282456,0.0033499406332045687,0.024578299354155442,8.447542558542667,storage_loss_0.175Ah,0.175
5,0.016870717249807488,0.0033386535896600057,,0.04560769361249497,storage_loss_0.200Ah,0.2
10,0.01687071724980793,0.0033386535896600057,,0.16028918654279092,storage_loss_0.200Ah,0.2
30,0.01687071724980793,0.0033386535896600057,0.024655452689817236,1.035769479077786,storage_loss_0.200Ah,0.2
60,0.01687071724980793,0.0033386535896600057,0.024655452689817236,3.0792420759133474,storage_loss_0.200Ah,0.2
120,0.01687071724980793,0.0033386535896600057,0.024655452689817236,8.4824427233504,storage_loss_0.200Ah,0.2
